Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
-3.5,-3.5,47.14,47.14,-66.666,-16.492,-29.685,33.96,-59.37,-32.984,67.92,-28.721999999999998,-15.529,32.651
-3.5,-3.0,55.663,49.479,-74.478,-21.438,-34.301,40.449,-67.847,-30.154,74.24,-33.622,-14.976000000000003,36.807
-3.5,-2.5,65.573,51.001,-83.073,-28.28,-39.592,48.652,-75.915,-25.305,80.014,-38.622000000000014,-13.896,41.046
-3.5,-2.0,76.819,51.212,-92.319,-37.785,-45.342,59.02,-82.677,-18.373,84.698,-43.643,-12.502999999999997,45.399
-3.5,-1.5,89.055,49.475,-101.879,-50.892,-50.892,71.981,-87.25,-9.694,87.793,-49.086999999999996,-11.111000000000002,50.329
-3.5,-1.0,101.771,45.231,-111.36,-68.536,-54.829,87.781,-88.889,0.0,88.889,-55.653999999999996,-9.597999999999999,56.476
-3.5,-0.5,113.872,37.957,-120.021,-90.838,-54.503,105.917,-87.25,9.694,87.793,-64.216,-6.8519999999999985,64.581
-3.5,0.0,124.015,27.559,-127.046,-115.206,-46.082,124.099,-82.677,18.373,84.698,-73.86800000000001,-0.14999999999999858,73.868
-3.5,0.5,130.875,14.542,-131.689,-135.694,-27.139,138.408,-75.915,25.305,80.014,-80.734,12.708,81.728
-3.5,1.0,133.333,-0.0,-133.333,-144.0,0.0,144.0,-67.847,30.154,74.24,-78.514,30.154,84.105
-3.5,1.5,130.875,-14.542,-131.689,-135.694,27.139,138.408,-59.37,32.984,67.92,-64.189,45.581,78.726
-3.5,2.0,124.015,-27.559,-127.046,-115.206,46.082,124.099,-51.212,34.142,61.546,-42.403000000000006,52.665000000000006,67.614
-3.5,2.5,113.872,-37.957,-120.021,-90.838,54.503,105.917,-43.715,34.001,55.382,-20.680999999999997,50.547,54.614
-3.5,3.0,101.771,-45.231,-111.36,-68.536,54.829,87.781,-37.109,32.986,49.652,-3.8740000000000023,42.583999999999996,42.76
-3.0,-3.5,49.479,55.663,-74.478,-15.077,-33.924,37.12,-68.602,-42.876,80.899,-34.2,-21.137,40.205
-3.0,-3.0,59.658,59.658,-84.371,-20.126,-40.253,45.003,-80.506,-40.253,90.005,-40.974000000000004,-20.848,45.973
-3.0,-2.5,71.931,62.939,-95.578,-27.481,-48.092,55.388,-92.35,-34.631,98.63,-47.9,-19.784,51.825
-3.0,-2.0,86.4,64.8,-108.0,-38.388,-57.582,69.214,-102.729,-25.682,105.888,-54.71699999999999,-18.464000000000002,57.748
-3.0,-1.5,102.903,64.314,-121.348,-54.829,-68.536,87.781,-109.924,-13.741,110.776,-61.85,-17.963000000000008,64.406
-3.0,-1.0,120.759,60.379,-135.008,-79.586,-79.586,112.534,-112.5,0.0,112.5,-71.327,-19.207,73.868
-3.0,-0.5,138.526,51.947,-147.945,-115.2,-86.4,144.0,-109.924,13.741,110.776,-86.598,-20.712000000000003,89.04
-3.0,0.0,154.093,38.523,-158.832,-161.012,-80.506,180.011,-102.729,25.682,105.888,-109.64800000000001,-16.301,110.853
-3.0,0.5,164.887,20.611,-166.164,-205.308,-51.327,211.673,-92.35,34.631,98.63,-132.771,3.9150000000000027,132.829
-3.0,1.0,168.75,-0.0,-168.75,-225.0,0.0,225.0,-80.506,40.253,90.005,-136.756,40.253,142.557
-3.0,1.5,164.887,-20.611,-166.164,-205.308,51.327,211.673,-68.602,42.876,80.899,-109.023,73.592,131.536
-3.0,2.0,154.093,-38.523,-158.832,-161.012,80.506,180.011,-57.6,43.2,72.0,-64.519,85.18299999999999,106.859
-3.0,2.5,138.526,-51.947,-147.945,-115.2,86.4,144.0,-47.954,41.96,63.719,-24.627999999999993,76.41300000000001,80.284
-3.0,3.0,120.759,-60.379,-135.008,-79.586,79.586,112.534,-39.772,39.772,56.247,1.4010000000000034,58.979,58.996
-2.5,-3.5,51.001,65.573,-83.073,-12.652,-37.957,40.007,-79.183,-56.559,97.305,-40.83400000000001,-28.943000000000005,50.051
-2.5,-3.0,62.939,71.931,-95.578,-17.316,-46.175,49.315,-96.184,-54.962,110.776,-50.56099999999999,-29.206000000000003,58.39
-2.5,-2.5,77.914,77.914,-110.193,-24.448,-57.045,62.065,-114.091,-48.896,124.131,-60.62499999999999,-28.027,66.79
-2.5,-2.0,96.456,82.677,-127.046,-35.78,-71.561,80.005,-130.628,-37.322,135.853,-69.95199999999998,-26.206000000000003,74.7
