Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza total X,fuerza total Y,fuerza neta total
-21.0,-11.0,-12.43,-12.43,17.579,8.224,5.061,-9.656,-4.2059999999999995,-7.369,8.485
-21.0,-8.5,-15.697,-13.244,20.537,9.307,4.832,-10.486,-6.389999999999999,-8.411999999999999,10.564
-21.0,-6.0,-19.674,-13.526,23.874,10.4,4.4,-11.292,-9.274,-9.126,13.011
-21.0,-3.5,-24.212,-12.863,27.417,11.433,3.738,-12.028,-12.779,-9.125,15.702
-21.0,-1.0,-28.859,-10.822,30.822,12.317,2.842,-12.641,-16.542,-7.979999999999999,18.366
-21.0,1.5,-32.778,-7.17,33.552,12.959,1.744,-13.076,-19.819,-5.426,20.548
-21.0,4.0,-34.953,-2.185,35.02,13.284,0.511,-13.294,-21.669000000000004,-1.674,21.734
-21.0,6.5,-34.699,3.253,34.851,13.248,-0.764,-13.27,-21.451,2.489,21.595
-21.0,9.0,-32.103,8.026,33.09,12.854,-1.978,-13.006,-19.249000000000002,6.048,20.177
-21.0,11.5,-27.957,11.357,30.176,12.157,-3.039,-12.531,-15.8,8.318,17.856
-21.0,14.0,-23.275,13.092,26.705,11.235,-3.889,-11.889,-12.04,9.203000000000001,15.154
-21.0,16.5,-18.823,13.529,23.181,10.183,-4.504,-11.135,-8.64,9.025,12.494
-21.0,19.0,-14.986,13.112,19.912,9.087,-4.893,-10.321,-5.899000000000001,8.219000000000001,10.117
-18.5,-11.0,-13.244,-15.697,20.537,9.204,6.267,-11.135,-4.039999999999999,-9.43,10.259
-18.5,-8.5,-17.459,-17.459,24.691,10.624,6.103,-12.253,-6.834999999999999,-11.356,13.254
-18.5,-6.0,-23.008,-18.747,29.679,12.107,5.667,-13.368,-10.901,-13.08,17.027
-18.5,-3.5,-29.926,-18.842,35.364,13.552,4.902,-14.412,-16.374,-13.939999999999998,21.504
-18.5,-1.0,-37.685,-16.749,41.239,14.824,3.785,-15.299,-22.861000000000004,-12.963999999999999,26.281
-18.5,1.5,-44.795,-11.613,46.275,15.77,2.349,-15.944,-29.025000000000002,-9.264,30.468
-18.5,4.0,-48.979,-3.628,49.113,16.253,0.692,-16.268,-32.726,-2.936,32.857
-18.5,6.5,-48.483,5.387,48.781,16.198,-1.034,-16.231,-32.285,4.353,32.577
-18.5,9.0,-43.528,12.897,45.398,15.614,-2.658,-15.838,-27.913999999999998,10.239,29.733
-18.5,11.5,-36.123,17.392,40.091,14.592,-4.036,-15.139,-21.531,13.356,25.337
-18.5,14.0,-28.446,18.964,34.188,13.273,-5.083,-14.213,-15.173000000000002,13.880999999999998,20.565
-18.5,16.5,-21.785,18.558,28.617,11.81,-5.779,-13.148,-9.975,12.779,16.211
-18.5,19.0,-16.515,17.127,23.793,10.334,-6.156,-12.028,-6.181000000000001,10.971,12.592
-16.0,-11.0,-13.526,-19.674,23.874,10.271,7.825,-12.912,-3.254999999999999,-11.849,12.288
-16.0,-8.5,-18.747,-23.008,29.679,12.147,7.809,-14.44,-6.6,-15.198999999999998,16.57
-16.0,-6.0,-26.299,-26.299,37.192,14.185,7.43,-16.014,-12.113999999999999,-18.869,22.423
-16.0,-3.5,-36.855,-28.479,46.575,16.254,6.579,-17.535,-20.600999999999996,-21.9,30.067
-16.0,-1.0,-50.325,-27.45,57.325,18.143,5.184,-18.868,-32.182,-22.266,39.134
-16.0,1.5,-64.369,-20.481,67.547,19.586,3.264,-19.856,-44.783,-17.217000000000002,47.979
-16.0,4.0,-73.475,-6.68,73.775,20.338,0.968,-20.362,-53.13699999999999,-5.712,53.443
-16.0,6.5,-72.349,9.866,73.02,20.252,-1.447,-20.304,-52.09700000000001,8.419,52.773
-16.0,9.0,-61.734,22.449,65.69,19.345,-3.685,-19.693,-42.389,18.764000000000003,46.356
-16.0,11.5,-47.462,28.046,55.13,17.791,-5.507,-18.624,-29.671000000000003,22.539,37.261
-16.0,14.0,-34.481,28.212,44.552,15.848,-6.792,-17.242,-18.633000000000003,21.42,28.39
-16.0,16.5,-24.564,25.68,35.537,13.77,-7.541,-15.699,-10.794,18.139,21.108
-16.0,19.0,-17.542,22.326,28.393,11.756,-7.837,-14.129,-5.786000000000001,14.489,15.602
-13.5,-11.0,-12.863,-24.212,27.417,11.379,9.841,-15.044,-1.484,-14.371,14.447
-13.5,-8.5,-18.842,-29.926,35.364,13.861,10.115,-17.159,-4.980999999999998,-19.811,20.428
-13.5,-6.0,-28.479,-36.855,46.575,16.7,9.929,-19.428,-11.779,-26.925999999999995,29.39
-13.5,-3.5,-44.039,-44.039,62.282,19.731,9.066,-21.713,-24.308,-34.973,42.591
-13.5,-1.0,-67.93,-47.95,83.146,22.632,7.34,-23.793,-45.298,-40.61,60.837
-13.5,1.5,-98.499,-40.558,106.518,24.946,4.72,-25.388,-73.553,-35.838,81.819
-13.5,4.0,-122.009,-14.354,122.856,26.182,1.415,-26.22,-95.827,-12.939,96.697
-13.5,6.5,-118.981,20.997,120.815,26.038,-2.111,-26.124,-92.943,18.886,94.842
-13.5,9.0,-92.28,43.426,101.986,24.557,-5.31,-25.123,-67.723,38.116,77.713
-13.5,11.5,-62.447,47.753,78.609,22.082,-7.759,-23.406,-40.365,39.994,56.823
-13.5,14.0,-40.328,42.7,58.732,19.121,-9.302,-21.264,-21.207000000000004,33.398,39.562
-13.5,16.5,-26.161,35.394,44.012,16.109,-10.014,-18.967,-10.052,25.38,27.298
-13.5,19.0,-17.413,28.681,33.552,13.334,-10.09,-16.721,-4.079000000000001,18.591,19.033
-11.0,-11.0,-10.822,-28.859,30.822,12.43,12.43,-17.579,1.6080000000000005,-16.429000000000002,16.508
-11.0,-8.5,-16.749,-37.685,41.239,15.697,13.244,-20.537,-1.0519999999999996,-24.441000000000003,24.464
-11.0,-6.0,-27.45,-50.325,57.325,19.674,13.526,-23.874,-7.776,-36.79900000000001,37.612
-11.0,-3.5,-47.95,-67.93,83.146,24.212,12.863,-27.417,-23.738000000000003,-55.06700000000001,59.966
-11.0,-1.0,-88.397,-88.397,125.008,28.859,10.822,-30.822,-59.538000000000004,-77.575,97.789
-11.0,1.5,-161.135,-93.995,186.54,32.778,7.17,-33.552,-128.357,-86.825,154.965
-11.0,4.0,-239.906,-39.984,243.224,34.953,2.185,-35.02,-204.953,-37.799,208.409
-11.0,6.5,-228.231,57.058,235.268,34.699,-3.253,-34.851,-193.53199999999998,53.805,200.872
-11.0,9.0,-144.015,96.01,173.082,32.103,-8.026,-33.09,-111.91199999999998,87.98400000000001,142.357
-11.0,11.5,-78.01,84.511,115.013,27.957,-11.357,-30.176,-50.053000000000004,73.154,88.639
-11.0,14.0,-42.665,63.998,76.918,23.275,-13.092,-26.705,-19.39,50.906,54.474
-11.0,16.5,-24.744,47.426,53.493,18.823,-13.529,-23.181,-5.920999999999999,33.897000000000006,34.41
-11.0,19.0,-15.28,35.653,38.791,14.986,-13.112,-19.912,-0.2939999999999987,22.540999999999997,22.543
-8.5,-11.0,-7.17,-32.778,33.552,13.244,15.697,-20.537,6.074,-17.081,18.129
-8.5,-8.5,-11.613,-44.795,46.275,17.459,17.459,-24.691,5.846,-27.336000000000002,27.954
-8.5,-6.0,-20.481,-64.369,67.547,23.008,18.747,-29.679,2.5269999999999975,-45.622,45.692
-8.5,-3.5,-40.558,-98.499,106.518,29.926,18.842,-35.364,-10.632000000000001,-79.657,80.363
-8.5,-1.0,-93.995,-161.135,186.54,37.685,16.749,-41.239,-56.31,-144.386,154.978
-8.5,1.5,-259.714,-259.714,367.309,44.795,11.613,-46.275,-214.91899999999998,-248.101,328.244
-8.5,4.0,-653.14,-186.611,679.266,48.979,3.628,-49.113,-604.161,-182.983,631.263
-8.5,6.5,-570.453,244.48,620.653,48.483,-5.387,-48.781,-521.97,239.093,574.124
-8.5,9.0,-209.798,239.769,318.593,43.528,-12.897,-45.398,-166.27,226.872,281.277
-8.5,11.5,-78.305,145.423,165.156,36.123,-17.392,-40.091,-42.18200000000001,128.031,134.801
-8.5,14.0,-34.977,89.941,96.507,28.446,-18.964,-34.188,-6.530999999999995,70.977,71.277
-8.5,16.5,-18.134,59.582,62.282,21.785,-18.558,-28.617,3.651,41.024,41.186
-8.5,19.0,-10.481,41.926,43.217,16.515,-17.127,-23.793,6.034000000000001,24.799000000000003,25.523
-6.0,-11.0,-2.185,-34.953,35.02,13.526,19.674,-23.874,11.341,-15.279000000000003,19.028
-6.0,-8.5,-3.628,-48.979,49.113,18.747,23.008,-29.679,15.119,-25.971,30.051
-6.0,-6.0,-6.68,-73.475,73.775,26.299,26.299,-37.192,19.619,-47.175999999999995,51.093
-6.0,-3.5,-14.354,-122.009,122.856,36.855,28.479,-46.575,22.500999999999998,-93.53,96.199
-6.0,-1.0,-39.984,-239.906,243.224,50.325,27.45,-57.325,10.341000000000001,-212.45600000000002,212.708
-6.0,1.5,-186.611,-653.14,679.266,64.369,20.481,-67.547,-122.24199999999999,-632.659,644.361
-6.0,4.0,-3183.422,-3183.422,4501.359,73.475,6.68,-73.775,-3109.947,-3176.742,4445.611
-6.0,6.5,-1535.519,2303.279,2768.542,72.349,-9.866,-73.02,-1463.17,2293.413,2720.406
-6.0,9.0,-128.411,513.644,529.439,61.734,-22.449,-65.69,-66.67699999999999,491.195,495.7
-6.0,11.5,-31.649,205.717,208.122,47.462,-28.046,-55.13,15.813000000000002,177.67100000000002,178.373
-6.0,14.0,-12.122,109.099,109.765,34.481,-28.212,-44.552,22.359,80.887,83.92
-6.0,16.5,-5.852,67.295,67.547,24.564,-25.68,-35.537,18.712,41.615,45.628
-6.0,19.0,-3.255,45.566,45.683,17.542,-22.326,-28.393,14.287000000000003,23.240000000000002,27.28
-3.5,-11.0,3.253,-34.699,34.851,12.863,24.212,-27.417,16.116,-10.486999999999998,19.228
-3.5,-8.5,5.387,-48.483,48.781,18.842,29.926,-35.364,24.229,-18.557,30.519
-3.5,-6.0,9.866,-72.349,73.02,28.479,36.855,-46.575,38.345,-35.49400000000001,52.251
-3.5,-3.5,20.997,-118.981,120.815,44.039,44.039,-62.282,65.036,-74.942,99.227
-3.5,-1.0,57.058,-228.231,235.268,67.93,47.95,-83.146,124.988,-180.281,219.37
-3.5,1.5,244.48,-570.453,620.653,98.499,40.558,-106.518,342.979,-529.895,631.208
-3.5,4.0,2303.279,-1535.519,2768.542,122.009,14.354,-122.856,2425.288,-1521.165,2862.86
-3.5,6.5,1414.854,1414.854,2000.604,118.981,-20.997,-120.815,1533.835,1393.857,2072.556
-3.5,9.0,173.157,461.752,493.151,92.28,-43.426,-101.986,265.437,418.326,495.433
-3.5,11.5,45.474,197.053,202.237,62.447,-47.753,-78.609,107.92099999999999,149.3,184.221
-3.5,14.0,17.774,106.642,108.112,40.328,-42.7,-58.732,58.102000000000004,63.94199999999999,86.397
-3.5,16.5,8.656,66.36,66.919,26.161,-35.394,-44.012,34.817,30.966,46.595
-3.5,19.0,4.836,45.14,45.398,17.413,-28.681,-33.552,22.249000000000002,16.459,27.675
-1.0,-11.0,8.026,-32.103,33.09,10.822,28.859,-30.822,18.848,-3.2439999999999998,19.125
-1.0,-8.5,12.897,-43.528,45.398,16.749,37.685,-41.239,29.646,-5.842999999999996,30.216
