Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
-21.0,-21.0,-5.061,-8.224,9.656,-4.707,-4.707,6.657,-12.43,-12.43,17.579,-22.198,-25.361,33.704
-21.0,-18.5,-6.267,-9.204,11.135,-5.436,-4.914,7.328,-15.697,-13.244,20.537,-27.4,-27.362000000000002,38.723
-21.0,-16.0,-7.825,-10.271,12.912,-6.268,-5.062,8.057,-19.674,-13.526,23.874,-33.766999999999996,-28.859,44.419
-21.0,-13.5,-9.841,-11.379,15.044,-7.202,-5.124,8.839,-24.212,-12.863,27.417,-41.254999999999995,-29.366,50.639
-21.0,-11.0,-12.43,-12.43,17.579,-8.224,-5.061,9.656,-28.859,-10.822,30.822,-49.513000000000005,-28.313,57.037
-21.0,-8.5,-15.697,-13.244,20.537,-9.307,-4.832,10.486,-32.778,-7.17,33.552,-57.782,-25.246000000000002,63.056
-21.0,-6.0,-19.674,-13.526,23.874,-10.4,-4.4,11.292,-34.953,-2.185,35.02,-65.027,-20.111,68.066
-21.0,-3.5,-24.212,-12.863,27.417,-11.433,-3.738,12.028,-34.699,3.253,34.851,-70.344,-13.347999999999999,71.599
-21.0,-1.0,-28.859,-10.822,30.822,-12.317,-2.842,12.641,-32.103,8.026,33.09,-73.279,-5.638,73.496
-21.0,1.5,-32.778,-7.17,33.552,-12.959,-1.744,13.076,-27.957,11.357,30.176,-73.69399999999999,2.4429999999999996,73.734
-21.0,4.0,-34.953,-2.185,35.02,-13.284,-0.511,13.294,-23.275,13.092,26.705,-71.512,10.396,72.264
-21.0,6.5,-34.699,3.253,34.851,-13.248,0.764,13.27,-18.823,13.529,23.181,-66.77,17.546,69.037
-21.0,9.0,-32.103,8.026,33.09,-12.854,1.978,13.006,-14.986,13.112,19.912,-59.943,23.116,64.246
-21.0,11.5,-27.957,11.357,30.176,-12.157,3.039,12.531,-11.86,12.231,17.037,-51.974000000000004,26.627,58.398
-21.0,14.0,-23.275,13.092,26.705,-11.235,3.889,11.889,-9.396,11.158,14.587,-43.906,28.139000000000003,52.149
-21.0,16.5,-18.823,13.529,23.181,-10.183,4.504,11.135,-7.481,10.053,12.531,-36.487,28.086000000000002,46.045
-21.0,19.0,-14.986,13.112,19.912,-9.087,4.893,10.321,-6.001,9.001,10.818,-30.074,27.006,40.42
-18.5,-21.0,-4.832,-9.307,10.486,-4.914,-5.436,7.328,-13.244,-15.697,20.537,-22.99,-30.439999999999998,38.146
-18.5,-18.5,-6.103,-10.624,12.253,-5.762,-5.762,8.148,-17.459,-17.459,24.691,-29.323999999999998,-33.845,44.781
-18.5,-16.0,-7.809,-12.147,14.44,-6.756,-6.038,9.061,-23.008,-18.747,29.679,-37.573,-36.932,52.685
-18.5,-13.5,-10.115,-13.861,17.159,-7.906,-6.224,10.062,-29.926,-18.842,35.364,-47.947,-38.927,61.759
