Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza X 4,fuerza Y 4,fuerza neta 4,fuerza total X,fuerza total Y,fuerza neta total
-21.0,-21.0,-5.061,-8.224,9.656,-4.707,-4.707,6.657,-12.43,-12.43,17.579,8.224,5.061,-9.656,-13.974,-20.3,24.645
-21.0,-18.5,-6.267,-9.204,11.135,-5.436,-4.914,7.328,-15.697,-13.244,20.537,9.307,4.832,-10.486,-18.092999999999996,-22.53,28.896
-21.0,-16.0,-7.825,-10.271,12.912,-6.268,-5.062,8.057,-19.674,-13.526,23.874,10.4,4.4,-11.292,-23.366999999999997,-24.459000000000003,33.827
-21.0,-13.5,-9.841,-11.379,15.044,-7.202,-5.124,8.839,-24.212,-12.863,27.417,11.433,3.738,-12.028,-29.821999999999996,-25.628,39.321
-21.0,-11.0,-12.43,-12.43,17.579,-8.224,-5.061,9.656,-28.859,-10.822,30.822,12.317,2.842,-12.641,-37.196000000000005,-25.471,45.081
-21.0,-8.5,-15.697,-13.244,20.537,-9.307,-4.832,10.486,-32.778,-7.17,33.552,12.959,1.744,-13.076,-44.82299999999999,-23.502000000000002,50.611
-21.0,-6.0,-19.674,-13.526,23.874,-10.4,-4.4,11.292,-34.953,-2.185,35.02,13.284,0.511,-13.294,-51.743,-19.6,55.331
-21.0,-3.5,-24.212,-12.863,27.417,-11.433,-3.738,12.028,-34.699,3.253,34.851,13.248,-0.764,-13.27,-57.096,-14.111999999999998,58.814
-21.0,-1.0,-28.859,-10.822,30.822,-12.317,-2.842,12.641,-32.103,8.026,33.09,12.854,-1.978,-13.006,-60.425,-7.616,60.903
-21.0,1.5,-32.778,-7.17,33.552,-12.959,-1.744,13.076,-27.957,11.357,30.176,12.157,-3.039,-12.531,-61.53699999999999,-0.5960000000000005,61.54
-21.0,4.0,-34.953,-2.185,35.02,-13.284,-0.511,13.294,-23.275,13.092,26.705,11.235,-3.889,-11.889,-60.277,6.5070000000000014,60.627
-21.0,6.5,-34.699,3.253,34.851,-13.248,0.764,13.27,-18.823,13.529,23.181,10.183,-4.504,-11.135,-56.586999999999996,13.042,58.07
-21.0,9.0,-32.103,8.026,33.09,-12.854,1.978,13.006,-14.986,13.112,19.912,9.087,-4.893,-10.321,-50.855999999999995,18.223,54.022
-21.0,11.5,-27.957,11.357,30.176,-12.157,3.039,12.531,-11.86,12.231,17.037,8.013,-5.085,-9.491,-43.961000000000006,21.541999999999998,48.955
-21.0,14.0,-23.275,13.092,26.705,-11.235,3.889,11.889,-9.396,11.158,14.587,7.008,-5.121,-8.679,-36.897999999999996,23.018,43.489
-21.0,16.5,-18.823,13.529,23.181,-10.183,4.504,11.135,-7.481,10.053,12.531,6.093,-5.039,-7.907,-30.394000000000002,23.047000000000004,38.144
-21.0,19.0,-14.986,13.112,19.912,-9.087,4.893,10.321,-6.001,9.001,10.818,5.282,-4.876,-7.188,-24.792,22.13,33.232
-18.5,-21.0,-4.832,-9.307,10.486,-4.914,-5.436,7.328,-13.244,-15.697,20.537,9.204,6.267,-11.135,-13.785999999999998,-24.173,27.828
-18.5,-18.5,-6.103,-10.624,12.253,-5.762,-5.762,8.148,-17.459,-17.459,24.691,10.624,6.103,-12.253,-18.699999999999996,-27.741999999999997,33.456
-18.5,-16.0,-7.809,-12.147,14.44,-6.756,-6.038,9.061,-23.008,-18.747,29.679,12.107,5.667,-13.368,-25.466,-31.265,40.324
-18.5,-13.5,-10.115,-13.861,17.159,-7.906,-6.224,10.062,-29.926,-18.842,35.364,13.552,4.902,-14.412,-34.395,-34.025,48.381
-18.5,-11.0,-13.244,-15.697,20.537,-9.204,-6.267,11.135,-37.685,-16.749,41.239,14.824,3.785,-15.299,-45.309000000000005,-34.928,57.209
-18.5,-8.5,-17.459,-17.459,24.691,-10.624,-6.103,12.253,-44.795,-11.613,46.275,15.77,2.349,-15.944,-57.108000000000004,-32.82599999999999,65.87
-18.5,-6.0,-23.008,-18.747,29.679,-12.107,-5.667,13.368,-48.979,-3.628,49.113,16.253,0.692,-16.268,-67.841,-27.35,73.147
-18.5,-3.5,-29.926,-18.842,35.364,-13.552,-4.902,14.412,-48.483,5.387,48.781,16.198,-1.034,-16.231,-75.76299999999998,-19.391,78.205
-18.5,-1.0,-37.685,-16.749,41.239,-14.824,-3.785,15.299,-43.528,12.897,45.398,15.614,-2.658,-15.838,-80.423,-10.294999999999998,81.079
-18.5,1.5,-44.795,-11.613,46.275,-15.77,-2.349,15.944,-36.123,17.392,40.091,14.592,-4.036,-15.139,-82.09599999999999,-0.6059999999999999,82.098
-18.5,4.0,-48.979,-3.628,49.113,-16.253,-0.692,16.268,-28.446,18.964,34.188,13.273,-5.083,-14.213,-80.405,9.560999999999998,80.971
-18.5,6.5,-48.483,5.387,48.781,-16.198,1.034,16.231,-21.785,18.558,28.617,11.81,-5.779,-13.148,-74.65599999999999,19.2,77.085
-18.5,9.0,-43.528,12.897,45.398,-15.614,2.658,15.838,-16.515,17.127,23.793,10.334,-6.156,-12.028,-65.323,26.526000000000003,70.503
-18.5,11.5,-36.123,17.392,40.091,-14.592,4.036,15.139,-12.539,15.326,19.802,8.934,-6.273,-10.916,-54.32,30.480999999999998,62.288
-18.5,14.0,-28.446,18.964,34.188,-13.273,5.083,14.213,-9.595,13.505,16.567,7.663,-6.196,-9.855,-43.650999999999996,31.356,53.746
-18.5,16.5,-21.785,18.558,28.617,-11.81,5.779,13.148,-7.426,11.826,13.964,6.545,-5.988,-8.871,-34.476,30.174999999999997,45.816
-18.5,19.0,-16.515,17.127,23.793,-10.334,6.156,12.028,-5.819,10.345,11.87,5.581,-5.7,-7.977,-27.087,27.928,38.906
-16.0,-21.0,-4.4,-10.4,11.292,-5.062,-6.268,8.057,-13.526,-19.674,23.874,10.271,7.825,-12.912,-12.716999999999999,-28.517,31.224
-16.0,-18.5,-5.667,-12.107,13.368,-6.038,-6.756,9.061,-18.747,-23.008,29.679,12.147,7.809,-14.44,-18.305,-34.062,38.669
-16.0,-16.0,-7.43,-14.185,16.014,-7.216,-7.216,10.204,-26.299,-26.299,37.192,14.185,7.43,-16.014,-26.759999999999998,-40.27,48.35
-16.0,-13.5,-9.929,-16.7,19.428,-8.622,-7.595,11.49,-36.855,-28.479,46.575,16.254,6.579,-17.535,-39.152,-46.195,60.555
-16.0,-11.0,-13.526,-19.674,23.874,-10.271,-7.825,12.912,-50.325,-27.45,57.325,18.143,5.184,-18.868,-55.979,-49.765,74.901
-16.0,-8.5,-18.747,-23.008,29.679,-12.147,-7.809,14.44,-64.369,-20.481,67.547,19.586,3.264,-19.856,-75.677,-48.034,89.634
-16.0,-6.0,-26.299,-26.299,37.192,-14.185,-7.43,16.014,-73.475,-6.68,73.775,20.338,0.968,-20.362,-93.62100000000001,-39.441,101.59
-16.0,-3.5,-36.855,-28.479,46.575,-16.254,-6.579,17.535,-72.349,9.866,73.02,20.252,-1.447,-20.304,-105.206,-26.639,108.526
-16.0,-1.0,-50.325,-27.45,57.325,-18.143,-5.184,18.868,-61.734,22.449,65.69,19.345,-3.685,-19.693,-110.857,-13.87,111.721
-16.0,1.5,-64.369,-20.481,67.547,-19.586,-3.264,19.856,-47.462,28.046,55.13,17.791,-5.507,-18.624,-113.626,-1.2060000000000013,113.632
-16.0,4.0,-73.475,-6.68,73.775,-20.338,-0.968,20.362,-34.481,28.212,44.552,15.848,-6.792,-17.242,-112.44599999999998,13.772,113.286
-16.0,6.5,-72.349,9.866,73.02,-20.252,1.447,20.304,-24.564,25.68,35.537,13.77,-7.541,-15.699,-103.395,29.451999999999995,107.508
-16.0,9.0,-61.734,22.449,65.69,-19.345,3.685,19.693,-17.542,22.326,28.393,11.756,-7.837,-14.129,-86.86500000000001,40.623000000000005,95.895
-16.0,11.5,-47.462,28.046,55.13,-17.791,5.507,18.624,-12.694,19.041,22.885,9.922,-7.796,-12.618,-68.025,44.797999999999995,81.451
-16.0,14.0,-34.481,28.212,44.552,-15.848,6.792,17.242,-9.356,16.161,18.673,8.321,-7.529,-11.222,-51.364000000000004,43.635999999999996,67.397
-16.0,16.5,-24.564,25.68,35.537,-13.77,7.541,15.699,-7.028,13.736,15.43,6.962,-7.128,-9.964,-38.400000000000006,39.82900000000001,55.325
-16.0,19.0,-17.542,22.326,28.393,-11.756,7.837,14.129,-5.38,11.738,12.912,5.828,-6.66,-8.85,-28.850000000000005,35.241,45.544
-13.5,-21.0,-3.738,-11.433,12.028,-5.124,-7.202,8.839,-12.863,-24.212,27.417,11.379,9.841,-15.044,-10.346000000000002,-33.00599999999999,34.59
-13.5,-18.5,-4.902,-13.552,14.412,-6.224,-7.906,10.062,-18.842,-29.926,35.364,13.861,10.115,-17.159,-16.107,-41.269,44.301
-13.5,-16.0,-6.579,-16.254,17.535,-7.595,-8.622,11.49,-28.479,-36.855,46.575,16.7,9.929,-19.428,-25.953,-51.80199999999999,57.94
-13.5,-13.5,-9.066,-19.731,21.713,-9.297,-9.297,13.148,-44.039,-44.039,62.282,19.731,9.066,-21.713,-42.671,-64.001,76.922
-13.5,-11.0,-12.863,-24.212,27.417,-11.379,-9.841,15.044,-67.93,-47.95,83.146,22.632,7.34,-23.793,-69.53999999999999,-74.663,102.031
-13.5,-8.5,-18.842,-29.926,35.364,-13.861,-10.115,17.159,-98.499,-40.558,106.518,24.946,4.72,-25.388,-106.256,-75.87899999999999,130.568
-13.5,-6.0,-28.479,-36.855,46.575,-16.7,-9.929,19.428,-122.009,-14.354,122.856,26.182,1.415,-26.22,-141.006,-59.723,153.132
-13.5,-3.5,-44.039,-44.039,62.282,-19.731,-9.066,21.713,-118.981,20.997,120.815,26.038,-2.111,-26.124,-156.713,-34.219,160.405
-13.5,-1.0,-67.93,-47.95,83.146,-22.632,-7.34,23.793,-92.28,43.426,101.986,24.557,-5.31,-25.123,-158.28500000000003,-17.174000000000003,159.214
-13.5,1.5,-98.499,-40.558,106.518,-24.946,-4.72,25.388,-62.447,47.753,78.609,22.082,-7.759,-23.406,-163.81,-5.283999999999999,163.895
-13.5,4.0,-122.009,-14.354,122.856,-26.182,-1.415,26.22,-40.328,42.7,58.732,19.121,-9.302,-21.264,-169.398,17.629000000000005,170.313
-13.5,6.5,-118.981,20.997,120.815,-26.038,2.111,26.124,-26.161,35.394,44.012,16.109,-10.014,-18.967,-155.071,48.488,162.475
-13.5,9.0,-92.28,43.426,101.986,-24.557,5.31,25.123,-17.413,28.681,33.552,13.334,-10.09,-16.721,-120.916,67.327,138.397
-13.5,11.5,-62.447,47.753,78.609,-22.082,7.759,23.406,-11.963,23.223,26.124,10.93,-9.749,-14.646,-85.56199999999998,68.986,109.909
-13.5,14.0,-40.328,42.7,58.732,-19.121,9.302,21.264,-8.483,18.961,20.773,8.928,-9.169,-12.798,-59.004000000000005,61.794,85.44
-13.5,16.5,-26.161,35.394,44.012,-16.109,10.014,18.967,-6.191,15.659,16.839,7.296,-8.48,-11.187,-41.165000000000006,52.587,66.783
-13.5,19.0,-17.413,28.681,33.552,-13.334,10.09,16.721,-4.635,13.087,13.883,5.984,-7.762,-9.801,-29.397999999999996,44.096000000000004,52.997
-11.0,-21.0,-2.842,-12.317,12.641,-5.061,-8.224,9.656,-10.822,-28.859,30.822,12.43,12.43,-17.579,-6.295000000000002,-36.970000000000006,37.502
-11.0,-18.5,-3.785,-14.824,15.299,-6.267,-9.204,11.135,-16.749,-37.685,41.239,15.697,13.244,-20.537,-11.104,-48.469,49.725
-11.0,-16.0,-5.184,-18.143,18.868,-7.825,-10.271,12.912,-27.45,-50.325,57.325,19.674,13.526,-23.874,-20.785000000000004,-65.21300000000001,68.445
-11.0,-13.5,-7.34,-22.632,23.793,-9.841,-11.379,15.044,-47.95,-67.93,83.146,24.212,12.863,-27.417,-40.919,-89.078,98.027
-11.0,-11.0,-10.822,-28.859,30.822,-12.43,-12.43,17.579,-88.397,-88.397,125.008,28.859,10.822,-30.822,-82.78999999999999,-118.864,144.855
-11.0,-8.5,-16.749,-37.685,41.239,-15.697,-13.244,20.537,-161.135,-93.995,186.54,32.778,7.17,-33.552,-160.803,-137.75400000000002,211.74
-11.0,-6.0,-27.45,-50.325,57.325,-19.674,-13.526,23.874,-239.906,-39.984,243.224,34.953,2.185,-35.02,-252.07699999999997,-101.65,271.801
